HGNC ID	Approved Symbol
HGNC:10977	SLC24A3
HGNC:10978	SLC24A4
HGNC:10979	SLC25A1
HGNC:10980	SLC25A10
HGNC:10981	SLC25A11
HGNC:10982	SLC25A12
HGNC:10983	SLC25A13
HGNC:10984	SLC25A14
HGNC:10985	SLC25A15
HGNC:10986	SLC25A16
HGNC:10987	SLC25A17
HGNC:10988	SLC25A18
HGNC:10989	SLC25A3
HGNC:1099	BRAP
HGNC:10990	SLC25A4
HGNC:10991	SLC25A5
HGNC:10992	SLC25A6
HGNC:10993	SLC26A1
HGNC:10994	SLC26A2
HGNC:10995	SLC27A1
HGNC:10996	SLC27A2
HGNC:10997	SLC27A3
HGNC:10998	SLC27A4
HGNC:10999	SLC27A5
HGNC:1100	BRCA1
HGNC:11000	SLC27A6
HGNC:11001	SLC28A1
HGNC:11002	SLC28A2
HGNC:11003	SLC29A1
HGNC:11004	SLC29A2
HGNC:11005	SLC2A1
HGNC:11006	SLC2A2
HGNC:11007	SLC2A3
HGNC:11008	SLC2A3P1
HGNC:11009	SLC2A4
HGNC:1101	BRCA2
HGNC:11010	SLC2A5
HGNC:11011	SLC2A6
HGNC:11012	SLC30A1
HGNC:11013	SLC30A2
HGNC:11014	SLC30A3
HGNC:11015	SLC30A4
HGNC:11016	SLC31A1
HGNC:11017	SLC31A2
HGNC:11018	SLC32A1
HGNC:11019	SLC34A1
HGNC:1102	BRD1
HGNC:11020	SLC34A2
HGNC:11021	SLC35A1
HGNC:11022	SLC35A2
HGNC:11023	SLC35A3
HGNC:11024	SLC37A1
HGNC:11025	SLC3A1
HGNC:11026	SLC3A2
HGNC:11027	SLC4A1
HGNC:11028	SLC4A2
HGNC:11029	SLC4A3
HGNC:1103	BRD2
HGNC:11030	SLC4A4
HGNC:11033	SLC4A7
HGNC:11034	SLC4A8
HGNC:11035	SLC4A9
HGNC:11036	SLC5A1
HGNC:11037	SLC5A2
HGNC:11038	SLC5A3
HGNC:11039	SLC5A4
HGNC:1104	BRD3
HGNC:11040	SLC5A5
HGNC:11041	SLC5A6
HGNC:11042	SLC6A1
HGNC:11043	SLC6A10P
HGNC:11044	SLC6A11
HGNC:11045	SLC6A12
HGNC:11046	SLC6A13
HGNC:11047	SLC6A14
HGNC:11048	SLC6A2
HGNC:11049	SLC6A3
HGNC:1105	BRDT
HGNC:11050	SLC6A4
HGNC:11051	SLC6A5
HGNC:11052	SLC6A6
HGNC:11053	SLC6A6P1
HGNC:11054	SLC6A7
HGNC:11055	SLC6A8
HGNC:11056	SLC6A9
HGNC:11057	SLC7A1
HGNC:11058	SLC7A10
HGNC:11059	SLC7A11
HGNC:1106	BRE
HGNC:11060	SLC7A2
HGNC:11061	SLC7A3
HGNC:11062	SLC7A4
HGNC:11063	SLC7A5
HGNC:11064	SLC7A6
HGNC:11065	SLC7A7
HGNC:11066	SLC7A8
HGNC:11067	SLC7A9
HGNC:11068	SLC8A1
HGNC:11069	SLC8A2
HGNC:1107	ZFP36L1
HGNC:11070	SLC8A3
HGNC:11071	SLC9A1
HGNC:11072	SLC9A2
HGNC:11073	SLC9A3
HGNC:11074	SLC9A3P1
HGNC:11075	SLC9A3R1
