HGNC ID	Approved symbol	Previous symbols	NCBI Gene ID
HGNC:54523	ADH5P5		
HGNC:255	ADH6		130
HGNC:256	ADH7		131
HGNC:16354	ADHFE1		137872
HGNC:30576	ADI1		55256
HGNC:52339	ADI1P1		100130936
HGNC:52340	ADI1P2		100288971
HGNC:52341	ADI1P3		100288129
HGNC:28606	ADIG		149685
HGNC:56273	ADIPINT		125906382
HGNC:13633	ADIPOQ	ACDC	9370
HGNC:40648	ADIPOQ-AS1		100874095
HGNC:24040	ADIPOR1		51094
HGNC:44910	ADIPOR1P1		645220
HGNC:44911	ADIPOR1P2		390503
HGNC:24041	ADIPOR2		79602
HGNC:24043	ADIRF	C10orf116	10974
HGNC:45127	ADIRF-AS1		100133190
HGNC:15873	ADISSP	C20orf27	54976
HGNC:257	ADK		132
HGNC:259	ADM		133
HGNC:55516	ADM-DT		105376544
HGNC:28898	ADM2		79924
HGNC:27293	ADM5	C19orf76	199800
HGNC:15766	ADNP		23394
HGNC:51227	ADNP-AS1		101927631
HGNC:23803	ADNP2	ZNF508	22850
HGNC:23506	ADO	C10orf22	84890
HGNC:262	ADORA1		134
HGNC:263	ADORA2A	ADORA2	135
HGNC:37122	ADORA2A-AS1	C22orf45	646023
HGNC:264	ADORA2B		136
HGNC:265	ADORA2BP1	ADORA2BP	137
HGNC:268	ADORA3		140
HGNC:25250	ADPGK		83440
HGNC:44144	ADPGK-AS1		100287559
HGNC:269	ADPRH		141
HGNC:21303	ADPRHL1		113622
HGNC:30925	ADPRM	C17orf48	56985
HGNC:21304	ADPRS	ADPRHL2	54936
HGNC:277	ADRA1A	ADRA1C	148
HGNC:278	ADRA1B		147
HGNC:280	ADRA1D		146
HGNC:281	ADRA2A	ADRA2, ADRA2R	150
HGNC:282	ADRA2B	ADRA2L1, ADRA2RL1	151
HGNC:283	ADRA2C	ADRA2L2, ADRA2RL2	152
HGNC:285	ADRB1	ADRB1R	153
HGNC:286	ADRB2	ADRB2R	154
HGNC:288	ADRB3		155
HGNC:15759	ADRM1		11047
HGNC:291	ADSL		158
HGNC:20093	ADSS1	ADSSL1	122622
HGNC:292	ADSS2	ADSS	159
HGNC:21214	ADTRP	C6orf105	84830
HGNC:303	AEBP1		165
HGNC:24051	AEBP2		121536
HGNC:25722	AEN	ISG20L1	64782
HGNC:24017	AFAP1		60312
HGNC:28141	AFAP1-AS1	AFAP1AS, AFAP1-AS	84740
HGNC:26714	AFAP1L1		134265
HGNC:25901	AFAP1L2	KIAA1914	84632
HGNC:7137	AFDN	MLLT4	4301
HGNC:21236	AFDN-DT	C6orf124, MLLT4-AS1, AFDN-AS1	653483
HGNC:7135	AFF1	PBM1, MLLT2	4299
HGNC:53447	AFF1-AS1		100506746
HGNC:3776	AFF2	FMR2	2334
HGNC:41334	AFF2-IT1		100874269
HGNC:6473	AFF3	LAF4	3899
HGNC:17869	AFF4		27125
HGNC:55235	AFF4-DT		124901065
HGNC:56526	AFF4P1		
HGNC:16411	AFG1L	LACE1	246269
HGNC:18119	AFG2A	SPATA5	166378
HGNC:28762	AFG2B	SPATA5L1	79029
HGNC:314	AFG3L1P	AFG3, AFG3L1	172
HGNC:315	AFG3L2	SCA28	10939
HGNC:24169	AFG3L2P1	AFG3L2P	347028
HGNC:316	AFM		173
HGNC:20910	AFMID		125061
HGNC:317	AFP	HPAFP	174
HGNC:25951	AFTPH		54812
HGNC:52788	AFTPH-DT		101927402
HGNC:318	AGA		175
HGNC:27730	AGA-DT		285500
HGNC:16922	AGAP1	CENTG2	116987
HGNC:41427	AGAP1-IT1		100506749
HGNC:16921	AGAP2	CENTG1	116986
HGNC:48633	AGAP2-AS1		100130776
HGNC:16923	AGAP3	CENTG3	116988
HGNC:23459	AGAP4	CTGLF1, AGAP8, CTGLF5	119016
HGNC:23467	AGAP5	CTGLF2	729092
HGNC:23466	AGAP6	CTGLF3	414189
HGNC:23465	AGAP7P	CTGLF4, AGAP7	653268
HGNC:23463	AGAP9	CTGLF6	642517
HGNC:23659	AGAP10P	AGAP10, CTGLF7, CTGLF10P	653234
HGNC:29421	AGAP11		119385
HGNC:23661	AGAP12P	CTGLF12P	414224
HGNC:23499	AGAP13P	CTGLF9P	728005
HGNC:23660	AGAP14P	CTGLF11P, AGAP14	653259
HGNC:26504	AGBL1		123624
HGNC:48617	AGBL1-AS1		727915
HGNC:26296	AGBL2		79841
HGNC:27981	AGBL3		340351
HGNC:25892	AGBL4		84871
HGNC:41123	AGBL4-AS1		101929721
HGNC:41482	AGBL4-IT1		
HGNC:26147	AGBL5		60509
HGNC:41133	AGBL5-AS1		100874031
HGNC:41484	AGBL5-IT1		
HGNC:320	AGER		177
HGNC:5175	AGFG1	HRB	3267
HGNC:5177	AGFG2	HRBL	3268
HGNC:24684	AGGF1		55109
HGNC:38051	AGGF1P1		100132380
HGNC:38052	AGGF1P2		644435
HGNC:38053	AGGF1P3		391552
HGNC:38054	AGGF1P4		100129351
HGNC:51741	AGGF1P5		100128103
HGNC:51744	AGGF1P6		
HGNC:51740	AGGF1P7		100132606
HGNC:51745	AGGF1P8		100128804
HGNC:51746	AGGF1P9		100127958
HGNC:51747	AGGF1P10		100288774
HGNC:21869	AGK	MULK	55750
HGNC:55356	AGK-DT		105375538
HGNC:37661	AGKP1		359793
HGNC:55132	AGKP2		392543
HGNC:321	AGL		178
HGNC:18407	AGMAT		79814
HGNC:33784	AGMO	TMEM195	392636
HGNC:3262	AGO1	EIF2C1	26523
HGNC:3263	AGO2	EIF2C2, CASC7	27161
HGNC:18421	AGO3	EIF2C3	192669
HGNC:18424	AGO4	EIF2C4	192670
HGNC:324	AGPAT1		10554
HGNC:325	AGPAT2	BSCL	10555
HGNC:326	AGPAT3		56894
HGNC:20885	AGPAT4		56895
HGNC:20988	AGPAT4-IT1	C6orf59, NCRNA00241	79992
HGNC:20886	AGPAT5		55326
HGNC:37709	AGPAT5P1		646231
HGNC:327	AGPS		8540
HGNC:328	AGR2		10551
HGNC:24167	AGR3		155465
HGNC:329	AGRN	AGRIN	375790
HGNC:330	AGRP		181
HGNC:333	AGT	SERPINA8	183
HGNC:17258	AGTPBP1		23287
HGNC:336	AGTR1	AGTR1B	185
